player_name,nationality,is_retired,backed_up_at
JL Jonassen,Australia,,2026-04-23T13:39:47Z
JL Langer,Australia,,2026-04-23T13:39:47Z
JL Ontong,South Africa,,2026-04-23T13:39:47Z
JL Pattinson,Australia,,2026-04-23T13:39:47Z
JL Smith,England,,2026-04-23T13:39:47Z
JL Solozano,West Indies,,2026-04-23T13:39:47Z
JM Anderson,England,,2026-04-23T13:39:47Z
JM Bairstow,England,,2026-04-23T13:39:47Z
JM Bird,Australia,,2026-04-23T13:39:47Z
JM Fields,Australia,,2026-04-23T13:39:47Z
JM Holland,Australia,,2026-04-23T13:39:47Z
JM How,New Zealand,,2026-04-23T13:39:47Z
JM Mennie,Australia,,2026-04-23T13:39:47Z
JM Vince,England,,2026-04-23T13:39:47Z
JN Gillespie,Australia,,2026-04-23T13:39:47Z
JN Hamilton,,,2026-04-23T13:39:47Z
JNT Seales,West Indies,,2026-04-23T13:39:47Z
JO Holder,West Indies,,2026-04-23T13:39:47Z
JP Crawley,England,,2026-04-23T13:39:47Z
JP Duminy,South Africa,,2026-04-23T13:39:47Z
JP Faulkner,Australia,,2026-04-23T13:39:47Z
JP Greaves,,,2026-04-23T13:39:47Z
JP Inglis,Australia,,2026-04-23T13:39:47Z
JR Hazlewood,Australia,,2026-04-23T13:39:47Z
JS Foster,England,,2026-04-23T13:39:47Z
JS Patel,New Zealand,,2026-04-23T13:39:47Z
JT Ball,England,,2026-04-23T13:39:47Z
Jubair Hossain,Bangladesh,,2026-04-23T13:39:47Z
Julie Hayes,,,2026-04-23T13:39:47Z
Junaid Khan,Pakistan,,2026-04-23T13:39:47Z
Junaid Siddique,Bangladesh,,2026-04-23T13:39:47Z
JW Hastings,Australia,,2026-04-23T13:39:47Z
JWA Taylor,England,,2026-04-23T13:39:47Z
K Goud,,,2026-04-23T13:39:47Z
K Matigimu,,,2026-04-23T13:39:47Z
K Pierre,West Indies,,2026-04-23T13:39:47Z
K Rabada,South Africa,,2026-04-23T13:39:47Z
K Sinclair,West Indies,,2026-04-23T13:39:47Z
K Verreynne,South Africa,,2026-04-23T13:39:47Z
K Zondo,South Africa,,2026-04-23T13:39:47Z
KA Anderson,,,2026-04-23T13:39:47Z
KA Blackwell,Australia,,2026-04-23T13:39:47Z
KA Edwards,West Indies,,2026-04-23T13:39:47Z
KA Hope,West Indies,,2026-04-23T13:39:47Z
KA Jamieson,New Zealand,,2026-04-23T13:39:47Z
KA Maharaj,South Africa,,2026-04-23T13:39:47Z
Kabir Ali,England,,2026-04-23T13:39:47Z
KAJ Roach,West Indies,,2026-04-23T13:39:47Z
Kamran Akmal,Pakistan,,2026-04-23T13:39:47Z
Kamran Ghulam,Pakistan,,2026-04-23T13:39:47Z
